review_id,formation_id,formation_label,slot,rank,rohm_player_id,rohm_player_name,rohm_category,current_player_id,current_player_name,current_person_id,candidate_ids
r181,73,リバプール 2004-05,10,10,2390,G・フェラー,PS,2336,G・フェラー,1465,1465 2336
r182,73,リバプール 2004-05,10,21,1587,G・フェラー,PS,2336,G・フェラー,1465,1465 2336
r183,75,ビアンコネーロ 2013-14,8,30,1152,ビデラ,PS,1170,ビデラ,686,686 783 1170 1680 1757 1977 2176 2622
r184,75,ビアンコネーロ 2013-14,8,35,1549,ビデラ,PS,1170,ビデラ,686,686 783 1170 1680 1757 1977 2176 2622
r185,76,マドリードA 2013-14,1,9,1361,アウアー,PS,1091,アウアー,513,513 835 1091 1649 1922 1997 2924 660
r186,76,マドリードA 2013-14,1,28,2175,アウアー,PS,1091,アウアー,513,513 835 1091 1649 1922 1997 2924 660
r187,76,マドリードA 2013-14,8,51,1130,プラッソン,PS,1104,プラッソン,1104,1104 1786
r188,76,マドリードA 2013-14,8,79,2376,プラッソン,PS,1104,プラッソン,1104,1104 1786
r189,78,チェルシー 2014-15,6,44,1239,ヒューズ,PS,1111,ヒューズ,453,453 774 1111 1452 847
r190,78,チェルシー 2014-15,6,60,1847,ヒューズ,PS,1111,ヒューズ,453,453 774 1111 1452 847
r191,78,チェルシー 2014-15,7,28,1239,ヒューズ,PS,1111,ヒューズ,453,453 774 1111 1452 847
r192,78,チェルシー 2014-15,7,70,1847,ヒューズ,PS,1111,ヒューズ,453,453 774 1111 1452 847
r193,78,チェルシー 2014-15,9,45,1130,プラッソン,PS,1104,プラッソン,1104,1104 1786
r194,78,チェルシー 2014-15,9,71,2376,プラッソン,PS,1104,プラッソン,1104,1104 1786
r195,78,チェルシー 2014-15,11,11,1924,ボルト,PS,1729,ボルト,646,646 1216 1729
r196,78,チェルシー 2014-15,11,24,2374,ボルト,PS,1729,ボルト,646,646 1216 1729
r197,80,大阪G 2008,10,61,1130,プラッソン,PS,1104,プラッソン,1104,1104 1786
r198,80,大阪G 2008,10,69,2376,プラッソン,PS,1104,プラッソン,1104,1104 1786
